data;DIESEL;ETANOL;GASOLINA;GASOLINA ADITIVADA
06/01/2026;R$ 5,89;R$ 4,39;R$ 6,05;R$ 6,05
12/01/2026;R$ 5,89;R$ 4,49;R$ 5,99;R$ 5,99
20/01/2026;R$ 5,89;R$ 4,59;R$ 5,99;R$ 5,99
27/01/2026;R$ 5,89;R$ 4,49;R$ 5,99;R$ 5,99
10/02/2026;R$ 5,89;R$ 4,49;R$ 5,99;R$ 5,99
