data;DIESEL;ETANOL;GASOLINA;GASOLINA ADITIVADA
12/01/2026;R$ 4,09;R$ 4,59;R$ 6,29;R$ 6,59
15/01/2026;R$ 4,09;R$ 4,59;R$ 6,29;R$ 6,59
20/01/2026;R$ 4,09;R$ 4,59;R$ 6,29;R$ 6,59
27/01/2026;R$ 4,09;R$ 4,79;R$ 6,09;R$ 6,49
10/02/2026;R$ 4,09;R$ 4,79;R$ 5,99;R$ 6,39
