data;DIESEL;ETANOL;GASOLINA;GASOLINA ADITIVADA
12/01/2026;R$ 5,99;R$ 4,45;R$ 6,05;R$ 6,25
20/01/2026;R$ 5,99;R$ 4,65;R$ 6,05;R$ 6,25
25/01/2026;R$ 5,99;R$ 4,65;R$ 5,99;R$ 6,25
27/01/2026;R$ 5,99;R$ 4,65;R$ 5,99;R$ 6,25
02/02/2026;R$ 5,99;R$ 4,65;R$ 5,99;R$ 6,25
